host,url,score,http_status,raisons,tech
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2019/associations/ccfd-terre-solidaire,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2020/produits/livret-agir,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2018/produits/carte-agir,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2018/produits/livret-a-comme-agir,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2019/associations/association-franc-comtoise-du-chemin-de-compostelle,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/tracabilite/2020/produits/livret-rev3/montant,11,200,id_non_derive_session(+6) | mouvement_argent | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2020/associations/ligue-des-droits-de-l-homme,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com | sonde: 0 reponse 200 exploitable sur 4 id -> indetermine,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2020/associations/association-franc-comtoise-du-chemin-de-compostelle,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2019/associations/medecins-du-monde,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/tracabilite/2019/produits/livret-agir-fondations/montant,11,200,id_non_derive_session(+6) | mouvement_argent | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/partage/2021/associations/handicap-international,11,200,id_non_derive_session(+6) | flux_auth | hors_cible_de_lancement:vega-is.com | sonde: 0 reponse 200 exploitable sur 4 id -> indetermine,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
www.lepouvoirdenousengager.fr,https://www.lepouvoirdenousengager.fr/visualiser/tracabilite/2020/produits/livret-agir-fondations/montant,11,200,id_non_derive_session(+6) | mouvement_argent | hors_cible_de_lancement:vega-is.com,"Apache HTTP Server,Node.js,Nuxt.js,Varnish:6.0,Vue.js"
